Orator,Entity Type,Part of Speech,Entity Phrase,Entity Root,Grouping,Seed Term,Function,Sentence
bush,PERSON,PROPN,Mr. President Pro Tempore,President Pro Tempore,ingroup,inferred,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,PROPN,Congress,Congress,ingroup,inferred,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,NORP,PROPN,fellow Americans,Americans,ingroup,fellow,Classification,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,PROPN,the Union,Union,,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,PERSON,PROPN,Todd Beamer,Todd Beamer,ingroup,exceptional man,Classification,"We have seen it in the courage of passengers, who rushed terrorists to save others on the ground -- passengers like an exceptional man named Todd Beamer."
bush,PERSON,PROPN,Lisa Beamer,Lisa Beamer,ingroup,inferred,,"And would you please help me to welcome his wife, Lisa Beamer, here tonight."
bush,ORG,PROPN,the Congress,Congress,ingroup,inferred,,I thank the Congress for its leadership at such an important time.
bush,GPE,PROPN,America,America,ingroup,linked,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,PROPN,Republicans,Republicans,ingroup,inferred,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,PROPN,Democrats,Democrats,ingroup,inferred,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,GPE,PROPN,America,America,ingroup,linked,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,PROPN,Paris,Paris,,,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,PROPN,Seoul,Seoul,,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,PROPN,Cairo,Cairo,,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,PROPN,Australia,Australia,,,,We will not forget moments of silence and days of mourning in Australia and Africa and Latin America.
bush,NORP,PROPN,Pakistanis,Pakistanis,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,NORP,PROPN,more than 130 Israelis,Israelis,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,India,India,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,El Salvador,El Salvador,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Iran,Iran,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Mexico,Mexico,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Japan,Japan,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,America,America,ingroup,linked,,America has no truer friend than Great Britain.
bush,GPE,PROPN,Great Britain,Great Britain,ingroup,friend,Elevation,America has no truer friend than Great Britain.
